CSD,1_Cumulative_WFS_PM25,2_WFS_Fraction,3_Average_WFS_PM25,4_Any_WFS,5_WFS_PM25_exceeds_5,6_Total_PM25_exceeds_25,7_WFS_Episodes,8_Severe_Episodes,9_Longest_Episode,10_Worst_Episode,11_WFS_from_Severe_Episodes,12_Average_Recovery,Cumulative_Total_PM25,Average_Total_PM25,Cumulative_NonWFS_PM25,Average_NonWFS_PM25,Counterfactual_Value
5923047,1.79,4.9,9.82,26,17,4,8,0,6,24.45,0,78.44,34.71,7.14,36.49,6.79,6.65
5923049,2.43,6.35,6.42,54,26,1,10,0,10,17.57,0,61.36,35.82,7.49,38.25,7.01,6.87
5923801,2,5.25,10.58,27,24,4,7,0,7,22.61,0,88.25,36.11,7.47,38.11,7.08,6.95
5923802,1.97,5.42,8.54,33,20,4,11,0,6,15.09,0,57.58,34.44,7.14,36.41,6.75,6.59
5923803,2.03,5.52,8.8,33,21,4,12,1,6,26.21,18,53.31,34.8,7.21,36.83,6.81,6.67
5923805,1.86,5.14,9.86,27,18,4,10,0,6,23.66,0,63.82,34.37,7.11,36.24,6.74,6.6
5923806,1.92,5.15,8.05,34,16,3,7,1,6,20.18,29.5,87.5,35.32,7.29,37.24,6.91,6.75
5923807,2.51,6.55,6.78,53,26,1,10,0,21,15.17,0,60.64,35.89,7.51,38.4,7.02,6.89
5923808,1.86,4.99,8.57,31,17,3,6,1,6,25.62,28.9,101.14,35.43,7.3,37.29,6.93,6.79
5923809,1.85,5.11,9.46,28,16,4,11,0,6,25.54,0,58.33,34.45,7.12,36.3,6.76,6.62
5923810,2.69,7,6.42,60,28,1,10,0,21,12.34,0,59.64,35.77,7.53,38.47,7,6.87
5923813,2.58,6.74,6.36,58,27,1,10,0,21,14.65,0,60.09,35.75,7.5,38.34,7,6.87
5923816,1.97,5.17,10.83,26,23,4,7,0,7,23.01,0,88.25,36.12,7.47,38.09,7.08,6.96
5923822,2.03,5.32,10.71,27,21,4,7,0,7,24.46,0,88.25,36.02,7.46,38.04,7.06,6.98
5923823,2.57,6.68,6.92,53,28,2,11,0,21,15.81,0,55.5,35.87,7.52,38.44,7.02,6.89
5923824,1.79,4.81,8.83,29,15,2,6,1,6,21.34,33.3,100.71,35.44,7.29,37.24,6.94,6.79
5924025,2.53,6.95,10.34,35,21,4,7,1,6,37.06,30.7,87.88,33.92,7.13,36.46,6.64,6.5
5924029,2.18,6,9.42,33,15,3,7,1,6,27.58,35.5,87.5,34.09,7.1,36.27,6.67,6.57
5924030,2.08,5.73,10.24,29,15,3,7,1,6,34.68,35,87.75,34.23,7.11,36.31,6.7,6.59
5924034,2.06,5.43,8.66,34,23,3,7,1,15,29.8,20.2,86.12,35.86,7.42,37.92,7.02,6.91
5924039,1.53,4.08,8.76,25,17,1,5,1,6,27.79,25.4,118,35.99,7.34,37.52,7.04,6.95
5924042,2.11,5.54,9.11,33,20,3,7,1,11,32.28,21.5,86.88,35.93,7.44,38.03,7.03,6.93
5924048,1.53,4.18,9.12,24,17,2,7,1,6,27.98,25.6,87.88,35.12,7.17,36.65,6.87,6.79
5924052,2.25,5.88,9.47,34,21,5,7,1,14,22.59,21.1,86.5,36.04,7.49,38.29,7.05,6.94
5924054,1.85,4.91,9.13,29,19,3,8,1,6,30.71,23.2,77.67,35.88,7.38,37.73,7.02,6.93
5924804,1.92,5.1,8.87,31,18,3,8,1,7,29.27,21.3,77.11,35.81,7.39,37.73,7.01,6.88
5924806,2.52,6.51,8,45,19,4,11,1,9,27.13,30.1,56.33,36.23,7.58,38.75,7.09,6.88
5924812,1.92,5.1,8.87,31,18,3,8,1,7,29.27,21.3,77.11,35.81,7.39,37.73,7.01,6.88
5924814,2.85,7.17,8.15,50,21,4,13,1,11,42.58,31.4,47.36,36.9,7.78,39.75,7.22,6.98
5924817,2.1,5.53,9.11,33,23,3,7,1,18,32.42,21.6,86,35.97,7.45,38.07,7.04,6.91
5924820,2.19,5.71,9.76,32,19,5,6,1,14,34.6,22.2,99.43,36.11,7.49,38.3,7.07,6.98
5924833,2.17,5.97,10.68,29,14,4,7,1,6,30.25,39.1,87.75,34.17,7.11,36.33,6.69,6.59
5924835,2.61,7.19,10.34,36,23,5,7,1,6,27.31,29.3,87.5,33.66,7.1,36.27,6.59,6.44
5924836,2.18,6,9.42,33,15,3,7,1,6,27.58,35.5,87.5,34.09,7.1,36.27,6.67,6.57
5924840,2.24,5.86,8.87,36,22,4,7,1,18,32.97,20.7,86,35.88,7.46,38.11,7.02,6.91
5926005,3.19,8.16,10.14,45,45,3,8,1,22,23.74,10.4,75,35.96,7.68,39.16,7.05,6.96
5926010,3.16,8.08,10.04,45,44,4,8,1,22,25.06,11.1,75,36,7.68,39.16,7.06,6.98
5926014,3.14,8.02,9.96,45,44,4,8,1,22,24.51,10.9,75,35.95,7.66,39.09,7.05,6.98
5926021,2.54,6.56,9.55,38,37,4,8,0,20,23.56,0,76.67,36.15,7.57,38.69,7.08,6.97
5926022,3.06,7.85,9.73,45,42,3,8,1,22,25.87,11.8,75,35.96,7.65,39.02,7.05,6.96
5926024,2.55,6.6,9.34,39,35,3,8,1,18,29.2,16,75.56,36.09,7.56,38.64,7.06,7
5926801,3.18,8.11,10.08,45,43,4,8,1,22,23.59,10.4,75,36,7.68,39.17,7.06,6.96
5927008,1.89,5.07,10.37,26,16,4,7,1,6,19.99,22.3,87.62,35.34,7.29,37.23,6.92,6.84
5927010,2.22,5.81,9.61,33,20,4,7,1,15,21.49,20.3,86.25,35.96,7.47,38.18,7.04,6.97
5927012,1.82,4.88,9.98,26,16,3,6,1,6,15.37,23.7,100.29,35.42,7.29,37.23,6.93,6.83
5927016,1.82,4.89,10.01,26,15,3,7,1,6,16.3,25.1,87.5,35.45,7.29,37.27,6.94,6.84
5927018,1.65,4.42,11.2,21,15,3,7,1,6,26.7,22.7,88,35.63,7.29,37.27,6.97,6.84
5927020,1.6,4.36,12.05,19,14,3,5,1,6,26.75,23.4,118.83,35.17,7.2,36.77,6.88,6.63
5927802,1.99,5.38,9.82,29,19,5,7,1,6,15.69,22,87.38,35.08,7.27,37.07,6.88,6.82
5927806,1.72,4.62,9.82,25,15,3,7,0,6,15.73,0,87.62,35.5,7.28,37.22,6.95,6.87
5929005,2.85,7.5,12.35,33,20,9,8,1,12,21.69,25.4,76.67,35.17,7.45,38.03,6.9,6.81
5929011,2.77,7.3,12.75,31,19,7,8,2,12,21.12,47.5,76.67,35.1,7.42,37.87,6.88,6.85
5929018,2.37,6.34,12.12,28,16,6,7,1,8,18.47,24.7,87,35.07,7.33,37.44,6.86,6.82
5929022,2.42,6.47,12.35,28,17,6,7,1,12,22.83,26.5,86.75,34.97,7.33,37.39,6.86,6.81
5929024,2.92,7.66,12.25,34,21,7,8,2,12,22.07,47.3,76.67,35.13,7.46,38.04,6.89,6.81
